Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,EJ Morgan (44253266),EJ Morgan,44253266,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,Meyer Swinney (44253270),Meyer Swinney,44253270,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,Tyree Sams (44253274),Tyree Sams,44253274,WR/FLEX/S-FLEX,3000,CLEM@CAL 09/25/2026 10:30PM ET,CAL,0,
WR,Drew Hall (44253278),Drew Hall,44253278,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Gavin Noe (44253282),Gavin Noe,44253282,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Merrick Barlow (44253286),Merrick Barlow,44253286,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,Q
WR,Truman Brasfield (44253290),Truman Brasfield,44253290,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Casey Smith (44253294),Casey Smith,44253294,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Arnel Heathington (44253298),Arnel Heathington,44253298,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Noah Bull (44253302),Noah Bull,44253302,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Landon Dolhancyk (44253306),Landon Dolhancyk,44253306,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Gus Anderson (44253310),Gus Anderson,44253310,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Bash Bodily (44253314),Bash Bodily,44253314,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Cayden Alula (44253318),Cayden Alula,44253318,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
WR,Akeem Clark (44253322),Akeem Clark,44253322,WR/FLEX/S-FLEX,3000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
